island,site,date,lizard_id,blattodea,coleoptera,diptera,embioptera,hemiptera,hymenoptera,isoptera,lepidoptera,neuroptera,odonata,orthoptera,psocoptera,raphidioptera,thysanura,insect_egg,spider_egg,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,neuroptera_larvae,odonata_larvae,acari,araneae,chilopoda,diplopoda,isopoda,pseudoscorpiones,gastropoda,sea_shell,berry,flower_parts,juniper_berry,leaf,seed,seed_pod,stick,lizard,sand,salt,comments
Naxos,EMONI,16-May-14,EMONI-516-17-a,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naxos,EMONI,16-May-14,EMONI-516-17-b,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naxos,EMONI,16-May-14,EMONI-516-20,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naxos,EMONI,16-May-14,EMONI-516-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Naxos,EMONI,16-May-14,EMONI-516-23,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naxos,EMONI,16-May-14,EMONI-516-25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naxos,EMONI,16-May-14,EMONI-516-26,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,
Naxos,EMONI,16-May-14,EMONI-516-29,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Schoinoussa,SCHOINOUSSA,16-Jun-14,SCHOI-613-07,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Schoinoussa,SCHOINOUSSA,17-Jun-14,SCHOI-613-23,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
