site,lizard_id,coleoptera,hemiptera,thysanura,araneae,hymenoptera,gastropoda,lepidoptera,orthoptera,diptera,isopoda,lepidoptera_larvae,spider_egg,diptera_larvae,coleoptera_larvae,acari,neuroptera_larvae,pseudoscorpiones,blattodea,odonata,insect_egg,raphidioptera
MALYKO,MALYKO-602-12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALYKO,MALYKO-602-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NALYKO,NALYKO-601-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NALYKO,NALYKO-601-06,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
NALYKO,NALYKO-601-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NALYKO,NALYKO-601-04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NALYKO,NALYKO-601-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NALYKO,NALYKO-601-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RACHI,RACHI-320-14,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-04,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-08,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-03,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-09,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-12,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
RACHI,RACHI-320-02,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-06,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-05,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACHI,RACHI-320-13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGRI,SAGRI- 521-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGRI,SAGRI- 521-10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGRI,SAGRI- 521-01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGRI,SAGRI- 521-11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0
SAGRI,SAGRI- 521-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGRI,SAGRI- 521-07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGRI,SAGRI- 521-09,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-17,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-33,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-22,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-05,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-26,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-21,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
SMONI,SMONI-522-38,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-09,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SMONI,SMONI-522-06,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-34,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-19,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-32,0,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SMONI,SMONI-522-39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-10,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-13,0,17,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-02,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-30,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMONI,SMONI-522-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
