site,date,lizard_id,comments,order,count
EMONI,16-May-14,EMONI-516-03,NA,coleoptera,1
EMONI,16-May-14,EMONI-516-03,NA,hymenoptera,1
EMONI,16-May-14,EMONI-516-03,NA,araneae,1
EMONI,16-May-14,EMONI-516-06,NA,coleoptera,1
EMONI,16-May-14,EMONI-516-06,NA,hemiptera,1
EMONI,16-May-14,EMONI-516-06,NA,hymenoptera,7
EMONI,16-May-14,EMONI-516-06,NA,lepidoptera_larvae,1
EMONI,16-May-14,EMONI-516-06,NA,araneae,2
EMONI,16-May-14,EMONI-516-07,NA,coleoptera,2
EMONI,16-May-14,EMONI-516-07,NA,hymenoptera,8
EMONI,16-May-14,EMONI-516-09,NA,hemiptera,2
EMONI,16-May-14,EMONI-516-09,NA,hymenoptera,3
EMONI,16-May-14,EMONI-516-09,NA,araneae,4
EMONI,16-May-14,EMONI-516-14,NA,coleoptera,4
EMONI,16-May-14,EMONI-516-14,NA,hymenoptera,3
EMONI,16-May-14,EMONI-516-14,NA,lepidoptera_larvae,1
EMONI,16-May-14,EMONI-516-14,NA,araneae,1
EMONI,16-May-14,EMONI-516-15,NA,lepidoptera_larvae,1
EMONI,16-May-14,EMONI-516-17-a,NA,coleoptera,1
EMONI,16-May-14,EMONI-516-17-a,NA,hymenoptera,1
EMONI,16-May-14,EMONI-516-17-a,NA,coleoptera_larvae,1
EMONI,16-May-14,EMONI-516-17-a,NA,acari,1
EMONI,16-May-14,EMONI-516-17-b,NA,hemiptera,1
EMONI,16-May-14,EMONI-516-17-b,NA,hymenoptera,1
EMONI,16-May-14,EMONI-516-17-b,NA,lepidoptera_larvae,1
EMONI,16-May-14,EMONI-516-17-b,NA,araneae,1
EMONI,16-May-14,EMONI-516-20,NA,coleoptera,2
EMONI,16-May-14,EMONI-516-20,NA,hymenoptera,2
EMONI,16-May-14,EMONI-516-20,NA,acari,4
EMONI,16-May-14,EMONI-516-22,NA,coleoptera,1
EMONI,16-May-14,EMONI-516-22,NA,araneae,1
EMONI,16-May-14,EMONI-516-22,NA,gastropoda,1
EMONI,16-May-14,EMONI-516-23,NA,coleoptera,1
EMONI,16-May-14,EMONI-516-23,NA,diptera,1
EMONI,16-May-14,EMONI-516-23,NA,hemiptera,1
EMONI,16-May-14,EMONI-516-23,NA,araneae,1
EMONI,16-May-14,EMONI-516-25,NA,orthoptera,1
EMONI,16-May-14,EMONI-516-26,NA,hemiptera,1
EMONI,16-May-14,EMONI-516-26,NA,hymenoptera,6
EMONI,16-May-14,EMONI-516-26,NA,lepidoptera_larvae,1
EMONI,16-May-14,EMONI-516-26,NA,araneae,1
EMONI,16-May-14,EMONI-516-26,NA,gastropoda,1
EMONI,16-May-14,EMONI-516-29,NA,coleoptera,3
EMONI,16-May-14,EMONI-516-29,NA,hemiptera,2
EMONI,16-May-14,EMONI-516-29,NA,hymenoptera,3
EMONI,16-May-14,EMONI-516-29,NA,coleoptera_larvae,1
EMONI,16-May-14,EMONI-516-29,NA,lepidoptera_larvae,1
EMONI,16-May-14,EMONI-516-29,NA,neuroptera_larvae,1
EMONI,16-May-14,EMONI-516-29,NA,acari,3
EMONI,16-May-14,EMONI-516-29,NA,araneae,3
MALYKO,07-Oct-14,MALYKO-602-17,NA,hymenoptera,5
MALYKO,07-Oct-14,MALYKO-602-17,NA,orthoptera,1
MALYKO,07-Oct-14,MALYKO-602-17,NA,araneae,2
MALYKO,07-Oct-14,MALYKO-602-17,NA,isopoda,1
MALYKO,07-Oct-14,MALYKO-602-17,NA,gastropoda,1
MALYKO,07-Oct-14,MALYKO-602-11,NA,araneae,1
MALYKO,07-Oct-14,MALYKO-602-21,NA,pseudoscorpiones,1
MALYKO,07-Oct-14,MALYKO-602-20,NA,hemiptera,9
MALYKO,07-Oct-14,MALYKO-602-20,NA,hymenoptera,1
MALYKO,07-Oct-14,MALYKO-602-K2,mealworm,diptera,1
MALYKO,07-Oct-14,MALYKO-602-K2,mealworm,hymenoptera,3
MALYKO,07-Oct-14,MALYKO-602-02,NA,coleoptera,1
MALYKO,07-Oct-14,MALYKO-602-02,NA,hemiptera,1
MALYKO,07-Oct-14,MALYKO-602-02,NA,orthoptera,1
MALYKO,07-Oct-14,MALYKO-602-02,NA,thysanura,1
MALYKO,07-Oct-14,MALYKO-602-02,NA,coleoptera_larvae,2
MALYKO,07-Oct-14,MALYKO-602-02,NA,lepidoptera_larvae,1
MALYKO,07-Oct-14,MALYKO-602-02,NA,acari,4
MALYKO,07-Oct-14,MALYKO-602-07,mealworm,coleoptera,1
MALYKO,07-Oct-14,MALYKO-602-10,NA,thysanura,1
MALYKO,07-Oct-14,MALYKO-602-09,NA,hymenoptera,1
MALYKO,07-Oct-14,MALYKO-602-12,NA,coleoptera,4
MALYKO,07-Oct-14,MALYKO-602-12,NA,hymenoptera,1
MALYKO,07-Oct-14,MALYKO-602-15,mealworm,coleoptera,1
NALYKO,01-Oct-14,NALYKO-601-01,NA,blattodea,1
NALYKO,01-Oct-14,NALYKO-601-01,NA,coleoptera,2
NALYKO,01-Oct-14,NALYKO-601-01,NA,araneae,1
NALYKO,01-Oct-14,NALYKO-601-06,mealworm,coleoptera,2
NALYKO,01-Oct-14,NALYKO-601-06,mealworm,coleoptera_larvae,1
NALYKO,01-Oct-14,NALYKO-601-06,mealworm,araneae,1
NALYKO,01-Oct-14,NALYKO-601-06,mealworm,pseudoscorpiones,1
NALYKO,01-Oct-14,NALYKO-601-07,NA,blattodea,1
NALYKO,01-Oct-14,NALYKO-601-07,NA,lepidoptera_larvae,1
