sample,site,sample_type,date,lizard_id,order,count,comments
DI-DEMAR-518_35,DEMAR,diet,09-Nov-14,DEMAR-518-35,araneae,1,NA
DI-DEMAR-518_35,DEMAR,diet,09-Nov-14,DEMAR-518-35,gastropoda,1,NA
DI-DEMAR-518_32,DEMAR,diet,09-Nov-14,DEMAR-518-32,coleoptera,2,NA
DI-DEMAR-518_32,DEMAR,diet,09-Nov-14,DEMAR-518-32,hemiptera,5,NA
DI-DEMAR-518_32,DEMAR,diet,09-Nov-14,DEMAR-518-32,araneae,3,NA
DI-DEMAR-518_38,DEMAR,diet,09-Nov-14,DEMAR-518-38,coleoptera,3,NA
DI-DEMAR-518_38,DEMAR,diet,09-Nov-14,DEMAR-518-38,hemiptera,1,NA
DI-DEMAR-518_38,DEMAR,diet,09-Nov-14,DEMAR-518-38,hymenoptera,2,NA
DI-DEMAR-518_38,DEMAR,diet,09-Nov-14,DEMAR-518-38,larvae,1,NA
DI-DEMAR-518_31,DEMAR,diet,09-Nov-14,DEMAR-518-31,coleoptera,1,NA
DI-DEMAR-518_31,DEMAR,diet,09-Nov-14,DEMAR-518-31,araneae,1,NA
DI-DEMAR-518_23,DEMAR,diet,09-Nov-14,DEMAR-518-23,hemiptera,1,NA
DI-DEMAR-518_23,DEMAR,diet,09-Nov-14,DEMAR-518-23,orthoptera,1,NA
DI-DEMAR-518_26,DEMAR,diet,09-Nov-14,DEMAR-518-26,araneae,1,NA
DI-DEMAR-518_28,DEMAR,diet,09-Nov-14,DEMAR-518-28,orthoptera,1,NA
DI-DEMAR-518_28,DEMAR,diet,09-Nov-14,DEMAR-518-28,araneae,1,NA
DI-DEMAR-518_07,DEMAR,diet,09-Nov-14,DEMAR-518-07,coleoptera,2,NA
DI-DEMAR-518_07,DEMAR,diet,09-Nov-14,DEMAR-518-07,orthoptera,1,NA
DI-DEMAR-518_13,DEMAR,diet,09-Nov-14,DEMAR-518-13,hemiptera,1,NA
DI-DEMAR-518_13,DEMAR,diet,09-Nov-14,DEMAR-518-13,hymenoptera,1,NA
DI-DEMAR-518_13,DEMAR,diet,09-Nov-14,DEMAR-518-13,araneae,1,NA
DI-EMONI-516_03,EMONI,diet,16-May-14,EMONI-516-03,coleoptera,1,NA
DI-EMONI-516_03,EMONI,diet,16-May-14,EMONI-516-03,hymenoptera,1,NA
DI-EMONI-516_03,EMONI,diet,16-May-14,EMONI-516-03,araneae,1,NA
DI-EMONI-516_06,EMONI,diet,16-May-14,EMONI-516-06,coleoptera,1,NA
DI-EMONI-516_06,EMONI,diet,16-May-14,EMONI-516-06,hemiptera,1,NA
DI-EMONI-516_06,EMONI,diet,16-May-14,EMONI-516-06,hymenoptera,7,NA
DI-EMONI-516_06,EMONI,diet,16-May-14,EMONI-516-06,araneae,2,NA
DI-EMONI-516_06,EMONI,diet,16-May-14,EMONI-516-06,larvae,1,NA
DI-EMONI-516_07,EMONI,diet,16-May-14,EMONI-516-07,coleoptera,2,NA
DI-EMONI-516_07,EMONI,diet,16-May-14,EMONI-516-07,hymenoptera,8,NA
DI-EMONI-516_09,EMONI,diet,16-May-14,EMONI-516-09,hemiptera,2,NA
DI-EMONI-516_09,EMONI,diet,16-May-14,EMONI-516-09,hymenoptera,3,NA
DI-EMONI-516_09,EMONI,diet,16-May-14,EMONI-516-09,araneae,4,NA
DI-EMONI-516_14,EMONI,diet,16-May-14,EMONI-516-14,coleoptera,4,NA
DI-EMONI-516_14,EMONI,diet,16-May-14,EMONI-516-14,hymenoptera,3,NA
DI-EMONI-516_14,EMONI,diet,16-May-14,EMONI-516-14,araneae,1,NA
DI-EMONI-516_14,EMONI,diet,16-May-14,EMONI-516-14,larvae,1,NA
DI-EMONI-516_15,EMONI,diet,16-May-14,EMONI-516-15,larvae,1,NA
DI-EMONI-516_17-a,EMONI,diet,16-May-14,EMONI-516-17-a,coleoptera,1,NA
DI-EMONI-516_17-a,EMONI,diet,16-May-14,EMONI-516-17-a,hymenoptera,1,NA
DI-EMONI-516_17-a,EMONI,diet,16-May-14,EMONI-516-17-a,larvae,1,NA
DI-EMONI-516_17-b,EMONI,diet,16-May-14,EMONI-516-17-b,hemiptera,1,NA
DI-EMONI-516_17-b,EMONI,diet,16-May-14,EMONI-516-17-b,hymenoptera,1,NA
DI-EMONI-516_17-b,EMONI,diet,16-May-14,EMONI-516-17-b,araneae,1,NA
DI-EMONI-516_17-b,EMONI,diet,16-May-14,EMONI-516-17-b,larvae,1,NA
DI-EMONI-516_20,EMONI,diet,16-May-14,EMONI-516-20,coleoptera,2,NA
DI-EMONI-516_20,EMONI,diet,16-May-14,EMONI-516-20,hymenoptera,2,NA
DI-EMONI-516_22,EMONI,diet,16-May-14,EMONI-516-22,coleoptera,1,NA
DI-EMONI-516_22,EMONI,diet,16-May-14,EMONI-516-22,araneae,1,NA
DI-EMONI-516_22,EMONI,diet,16-May-14,EMONI-516-22,gastropoda,1,NA
DI-EMONI-516_23,EMONI,diet,16-May-14,EMONI-516-23,coleoptera,1,NA
DI-EMONI-516_23,EMONI,diet,16-May-14,EMONI-516-23,hemiptera,1,NA
DI-EMONI-516_23,EMONI,diet,16-May-14,EMONI-516-23,araneae,1,NA
DI-EMONI-516_25,EMONI,diet,16-May-14,EMONI-516-25,orthoptera,1,NA
DI-EMONI-516_26,EMONI,diet,16-May-14,EMONI-516-26,hemiptera,1,NA
